Designator,Mid X,Mid Y,Rotation,Layer
D1,133.35,-57.15,90.0,bottom
D2,152.400128,-57.15,90.0,top
D3,171.45,-56.911875,90.0,top
D4,133.350112,-75.961875,90.0,top
D5,152.400128,-75.961875,90.0,top
D6,171.449856,-75.961875,90.0,top
D7,133.349888,-95.011875,90.0,top
D8,152.4,-95.011875,90.0,top
D9,171.45,-95.011875,90.0,top
J1,115.900096,-38.136902,0.0,top
S1,123.825,-54.985,0.0,top
S2,142.875,-54.985,0.0,top
S3,161.925136,-54.985048,0.0,top
S4,123.824896,-74.034936,0.0,top
S5,142.855032,-74.034936,0.0,top
S6,161.905016,-74.034936,0.0,top
S7,123.825104,-93.08508,0.0,top
S8,142.894728,-93.08492,0.0,top
S9,161.944712,-93.08492,0.0,top
SW3,161.925,-38.1,0.0,top
U1,142.38125,-33.81375,0.0,bottom
